==== START logs for container metrics-server of pod kube-system/metrics-server-86cbb8457f-n7nnt ====
I0315 14:14:57.924973       1 serving.go:312] Generated self-signed cert (apiserver.local.config/certificates/apiserver.crt, apiserver.local.config/certificates/apiserver.key)
E0316 12:23:26.884019       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:24:26.884401       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:25:26.863358       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:26:26.887833       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:27:26.885069       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:28:26.874375       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:29:26.871104       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:30:26.874422       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:31:26.859320       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:32:26.863853       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:33:26.874509       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:34:26.866769       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:35:26.851801       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:36:26.855688       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:37:26.860985       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:38:26.856955       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:40:26.852151       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:41:26.880366       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:42:26.879982       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:43:26.875350       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:44:26.874295       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:45:26.866480       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:46:26.889879       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:47:26.879123       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:48:26.879021       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:49:26.868406       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:50:26.904208       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:51:26.880123       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:52:26.879685       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:53:26.879611       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:54:26.878123       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:55:26.877701       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:56:26.875468       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:57:26.874542       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:58:26.867657       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:06:33.358519       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:07:33.357261       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:08:33.352697       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:09:33.346854       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:10:33.346633       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:12:33.352782       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:13:33.345797       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:14:33.343492       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:15:33.326968       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:16:33.347385       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:17:33.340202       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:18:33.338585       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:19:33.341462       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:20:33.337324       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:21:33.337687       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:22:33.336066       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:23:33.324715       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:24:33.332564       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:25:33.320113       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:26:33.322910       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:27:33.378461       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:28:33.349657       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:29:33.333371       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:30:33.339685       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:31:33.343383       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:32:33.350534       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:33:33.339053       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:34:33.353200       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:35:33.349097       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:36:33.350149       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:37:33.348369       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 16:38:33.335651       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
